ID	DAM	SIRE	SEX	BIRTHDATE
23227	18213	18607	F	20020415
23230	17893	18607	F	20020425
23232	18112	18607	M	20020325
23233	18175	18097	F	20020225
23234	18057	18607	F	20020325
23246	17591	18607	F	20020425
23247	18241	18065	M	20020225
23252	18129	18607	F	20020225
23255	18156	18097	F	20020225
23260	18072	18599	M	20020325
23264	18111	18607	F	20020225
23266	18151	18796	F	20020225
23272	18147	20280	M	20020225
23321	19478	?244	M	20020914
23344	17194	20217	F	20020401
23395	16635	188-92	F	20021125
23401	18776	188-92	F	20021212
23402	18776	188-92	F	20021212
23426	19717	19264	F	20021015
23442	18239	18843	F	20030129
23447	20439	22178	M	20021015
23553	18781	18835	F	20030225
23557	17953	16609	F	20030302
23569	20452	20096	M	20021201
23582	19743	19303	M	20030326
23603	16213	16640	M	20030418
23605	19829	19315	M	20030404
23616	16218	21936	M	20030425
23624	21086	21077	M	20030416
23645	19736	19296	F	20021211
23660	20033	18845	M	20030324
23664	21193	21192	F	20030520
23688	18175	18065	F	20030601
23695	18208	18097	F	20030215
23703	18008	18607	M	20030415
23705	18110	18796	F	20030501
23716	18072	18796	M	20030515
23723	18022	18607	M	20030515
23732	16733	21941	F	20030623
23733	19230	15929	M	20030601
23742	19502	19147	F	20030612
23747	19773	19296	F	20030301
23748	19312	19314	M	20030401
23754	19770	19301	F	20030301
23756	19042	19315	M	20030301
23760	19211	19301	F	20030301
23763	19727	19301	F	20030201
23764	19737	19305	M	20030101
23768	19771	19315	M	20030101
23769	19790	19296	F	20030201
23770			F	20030101
23784	19160	19315	M	20030301
23785	19792	19296	F	20030201
23787	19742	19301	F	20030101
23792	19774	19296	F	20030101
23796	19785	20043	M	20030628
23797	21190	21178	F	20030612
23806	21935	19855	F	20030606
23825	16998	17414	F	20030215
23831	17650	17654	F	20030301
23837	17775	17673	F	20030315
23845	17722	17751	F	20030515
23886	18664	18834	F	20030201
23888	18703	18843	F	20030201
23901	18722	18834	F	20030201
23903	18764	18834	F	20030201
23913	18506	18854	F	20030201
23928	20176	18845	M	20030201
23931	20164	18845	F	20030401
23933	20166	17992	M	20030201
23938	22041	21192	M	20030415
23939	21100	21178	F	20030415
23940	21175	21178	M	20030315
23944	17065	16412	F	20030401
23948	17120	16454	F	20030701
23955	17128	16445	F	20030508
23975	20380	16339	F	20030215
23985	16524	18621	F	20030902
23997	15066	16604	F	20030929
23999	13701	12385	M	20031001
24004	21145	?245	M	20030515
24007	17207	21010	M	20030401
24069	16715	17526	F	20031001
24096	18574	16242	M	20030715
24120	21022	19264	F	20040201
24129	20171	17992	F	20040225
24149	21540	21178	F	20040309
24153	20042	20202	M	20020521
24154	19680	20715	M	20040311
24179	21188	19510	M	20040301
24186	16169	20016	F	20040316
24268	15807	16242	F	20040503
24269	18100	18607	M	20040504
24270	21914	20263	F	20040504
24311	21547	21204	F	20040201
24328	21581	21204	F	20040501
24353	22622	20309	M	20040501
24357	21124	20309	M	20040615
24363	21748	20263	F	20040301
24365	21040	20357	F	20040601
24372	21738	?246	F	20040621
24374	21875	20186	F	20040615
24377	21771	20263	M	20040601
24378	21034	20186	M	20040515
24380	21874	20263	F	20040515
24386	21872	20186	F	20040525
24393	20370	17491	F	20040101
24400	18216	18607	M	20031201
24406	18129	18607	F	20040315
24407	17694	18607	M	20040115
24411	18122	18607	F	20040407
24428	18206	18607	M	20040601
24431	18129	18607	M	20030701
24432	18113	18607	M	20040515
24433	18167	18607	M	20040115
24434	18022	18607	F	20040215
24436	18095	18607	M	20040407
24437	18205	18607	M	20040615
24449	19770	19315	M	20040315
24450	19262	19296	M	20040215
24451	19737	19296	F	20040315
24455	19826	19296	M	20040115
24456	19736	19296	M	20040115
24458	19208	19296	F	20040215
24462	18917	19315	F	20040315
24472	19727	19301	F	20040101
24474	19780	19315	M	20040201
24476	19150	19296	F	20030701
24477	19215	19296	F	20040315
24479	19790	19301	F	20040415
24481	19199	19301	M	20040115
24488	19739	19296	F	20040115
24494	22203	22210	M	20040301
24500	21709	19264	F	20040701
24539	18590	18818	M	20040406
24541	19193	18843	M	20040101
24571	18664	18835	F	20040701
24598	22061	21559	F	20040505
24703	21536	21192	M	20040607
24731	16229	16327	M	20041019
24744	21839	21756	F	20050101
24755	20154	17992	F	20040201
24756	20164	17992	F	20040201
24761	20965	17992	M	20040201
24763	21545	21192	F	20040401
